type,name,sku,regular_price,sale_price,manage_stock,stock,backorders,stock_status,categories,tags,short_description,description,images,attributes:name,attributes:value(s),attributes:visible,attributes:taxonomy,parent_id
simple,Burda Negra Oversize,Oz1,35000,,yes,4,no,instock,Otros,personalizado,Producto personalizable: Burda Negra Oversize-TALLA:L,Burda Negra Oversize-TALLA:L. Ideal para otros. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/e97b3a88a1d53dd3a1c5e4710a4bbe6d_photo.webp, https://cdn.catalog-store.link/eba88a67ce0621e461a213cade998f83_photo.webp, https://cdn.catalog-store.link/8d13e27fb7cd2c994ecfb71c29b5732c_photo.webp, https://cdn.catalog-store.link/2801b9881da98f5348fd2175d734b9b6_photo.webp",,,,,
simple,P.D Dama Blanco LOTE 2,PDD,9100,,yes,6,no,instock,Otros,personalizado,Producto personalizable: P.D Dama Blanco LOTE 2-Talla:S,P.D Dama Blanco LOTE 2-Talla:S. Ideal para otros. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/0324bd4c058fde63324c7ed80d40a4e3_photo.webp, https://cdn.catalog-store.link/db2757d7ec3985cd780e6e70dd9b0b91_photo.webp, https://cdn.catalog-store.link/456f563753ee478e916d66badb6d39e6_photo.webp, https://cdn.catalog-store.link/f560c4dbced7917dee2cbdaf883e2706_photo.webp",,,,,
simple,Burda Marfil Oversize,omb,35000,,yes,4,no,instock,Otros,personalizado,Producto personalizable: Burda Marfil Oversize-TALLA:L,Burda Marfil Oversize-TALLA:L. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/f796bd3e0b557fe767b4dce02fbab28e_photo.webp,,,,,
simple,Pegante Sk100,038,21000,,yes,2,no,instock,Otros,personalizado,Producto personalizable: Pegante Sk100,Pegante Sk100. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/1ee0e8c1d8244de555cc16e1ecb53682_photo.webp,,,,,
simple,Funda Cojín lentejuela sublimable-COLOR:ROSADO,142,18200,,yes,2,no,instock,Otros,personalizado,Producto personalizable: Funda Cojín lentejuela sublimable-COLOR:ROSADO,Funda Cojín lentejuela sublimable-COLOR:ROSADO. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/104f0fd03b5de6235b12358c2c3c7c71_photo.webp,,,,,
simple,Papel De Sublimacion Rosado Premium A4,152,21000,,yes,1,no,instock,Otros,personalizado,Producto personalizable: Papel De Sublimacion Rosado Premium A4,Papel De Sublimacion Rosado Premium A4. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/8dd4a5417275cbd59b3f03df3a347d5a_photo.webp,,,,,
simple,Tarjeta PVC Sublimable 8.5x5.5,173,1120,,yes,48,no,instock,Otros,personalizado,Producto personalizable: Tarjeta PVC Sublimable 8.5x5.5,Tarjeta PVC Sublimable 8.5x5.5. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/3514a073c2d5ebaca3f3fc50b90fa07b_photo.webp,,,,,
simple,Tula Sublimable 43*34,34,7000,,yes,12,no,instock,Otros,personalizado,Producto personalizable: Tula Sublimable 43*34,Tula Sublimable 43*34. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/bf2a64bfe2cf62c36b435f27eb60f0cc_photo.webp,,,,,
simple,Seda Fria Blanca Oversize -BLANCO:L,45N,35000,,yes,2,no,instock,Otros,personalizado,Producto personalizable: Seda Fria Blanca Oversize -BLANCO:L,Seda Fria Blanca Oversize -BLANCO:L. Ideal para otros. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/996fe108c461d6276da719175a52e2b8_photo.webp, https://cdn.catalog-store.link/d99f7ca7cf73bf72334187fb56bd0344_photo.webp, https://cdn.catalog-store.link/3eb76b85b352e78225f2fed0e8c3b3b2_photo.webp, https://cdn.catalog-store.link/1b0611640f4454f9bcfde46575a49fd1_photo.webp",,,,,
simple,Seda Fria Gris Oversize -TALLA:L,874,35000,,yes,2,no,instock,Otros,personalizado,Producto personalizable: Seda Fria Gris Oversize -TALLA:L,Seda Fria Gris Oversize -TALLA:L. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/f07e09a36a28b7689a365af5bc16ad66_photo.webp,,,,,
simple,Algodon Blanco Caballero -TALLAS:L (Descuento 2000),AG1,18200,,yes,1,no,instock,Otros,personalizado,Producto personalizable: Algodon Blanco Caballero -TALLAS:L (Descuento 2000),Algodon Blanco Caballero -TALLAS:L (Descuento 2000). Ideal para otros. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/b0876f7a79cbaef034d30c48908c643a_photo.webp, https://cdn.catalog-store.link/5a95a8f530f8d1d7b2a5c9393f700faf_photo.webp, https://cdn.catalog-store.link/31cd6a12c2e50914661a2eab8c8078a0_photo.webp, https://cdn.catalog-store.link/02d56c2a237b200880f2507a84fa0cb2_photo.webp",,,,,
simple,Algodon Azul Bebe Caballero-talla:L (Descuento 2000),AZ05,18200,,yes,1,no,instock,Otros,personalizado,Producto personalizable: Algodon Azul Bebe Caballero-talla:L (Descuento 2000),Algodon Azul Bebe Caballero-talla:L (Descuento 2000). Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/011dc023d2f550e727b7d379c92421cf_photo.webp,,,,,
simple,Buzo Cordon Blanco Poliester -TALLA:L,BCB01,47600,,yes,3,no,instock,Prendas > Buzos y Chaquetas,personalizado,Producto personalizable: Buzo Cordon Blanco Poliester -TALLA:L,Buzo Cordon Blanco Poliester -TALLA:L. Ideal para prendas > buzos y chaquetas. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/8c038e1226029d6729c0cd3267f1756b_photo.webp, https://cdn.catalog-store.link/fbd2778342a645fa38bff16c29e27760_photo.webp",,,,,
simple,Burda Caqui Oversize-Talla :Xl,Bur2,35000,,yes,2,no,instock,Otros,personalizado,Producto personalizable: Burda Caqui Oversize-Talla :Xl,Burda Caqui Oversize-Talla :Xl. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/7b728d1f2fec5578e4d6c4ae45d88355_photo.webp,,,,,
simple,Burda Tierra Oversize-Talla:S,Bur6,35000,,yes,1,no,instock,Otros,personalizado,Producto personalizable: Burda Tierra Oversize-Talla:S,Burda Tierra Oversize-Talla:S. Ideal para otros. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/dd0da71ef5bd84b5315cc226a9480b1f_photo.webp, https://cdn.catalog-store.link/fab9c5d4e820ac06869209353e9abe23_photo.webp, https://cdn.catalog-store.link/10d3a970399c92c94f90ded1df1d89fe_photo.webp, https://cdn.catalog-store.link/f68661a60632b0280a8a8647b0eb38c0_photo.webp",,,,,
simple,Lamina Sublimable 20x30-LAMINA:BLANCA,LA14G,11200,,yes,6,no,instock,Otros,personalizado,Producto personalizable: Lamina Sublimable 20x30-LAMINA:BLANCA,Lamina Sublimable 20x30-LAMINA:BLANCA. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/54017e67983eb59b3f41a91390eaed78_photo.webp,,,,,
simple,Lamina Sublimable 15x20,LA15G,7700,,yes,10,no,instock,Otros,personalizado,Producto personalizable: Lamina Sublimable 15x20,Lamina Sublimable 15x20. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/ba8e1ed143a0dfa1871163a39a692621_photo.webp,,,,,
simple,Mug Sublimación Blanco 11oz (Caja 72 unidades),MUG11-C72,126000,,yes,72,no,instock,Hogar > Mugs,"mug, sublimación, taza",Producto personalizable: Mug Sublimación Blanco 11oz (Caja 72 unidades),Mug Sublimación Blanco 11oz (Caja 72 unidades). Ideal para hogar > mugs. Personalizable con tu diseño o marca.,,,,,,
simple,Mug Magico Mate 11 Onz,Magico,8120,,yes,12,no,instock,Hogar > Mugs,"mug, sublimación, taza",Producto personalizable: Mug Magico Mate 11 Onz,Mug Magico Mate 11 Onz. Ideal para hogar > mugs. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/e7fd93f49e423de5d2e5f06cdb578705_photo.webp,,,,,
simple,P.D Camibuzo Blanco-Talla:L,P09,15400,,yes,1,no,instock,Prendas > Buzos y Chaquetas,personalizado,Producto personalizable: P.D Camibuzo Blanco-Talla:L,P.D Camibuzo Blanco-Talla:L. Ideal para prendas > buzos y chaquetas. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/4fcecd02c95f1fa3b472ff05efa0507b_photo.webp, https://cdn.catalog-store.link/7c40ea0fc27136b370f2bf6fd3353617_photo.webp",,,,,
simple,Tarjeta De Aluminio Sublimable,TSM,1400,,yes,24,no,instock,Otros,personalizado,Producto personalizable: Tarjeta De Aluminio Sublimable,Tarjeta De Aluminio Sublimable. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/db630735ac640f0df4dcedf1f110edcd_photo.webp,,,,,
